Field_Season,Date_Collected,Plot,Species,Sex,Scale_Calibrated,Weight_grams,
2013,2013/07/16,2,DM,F,,,
2013,2013/07/16,7,DM,M,Y,33,
2013,2013/07/16,3,DM,M,,,
2013,2013/07/16,1,DM,M,,,
2013,2013/07/18,3,DM,M,Y,40,
2013,2013/07/18,7,DM,M,Y,48,
2013,2013/07/18,4,DM,F,Y,29,
2013,2013/07/18,4,DM,F,Y,46,
2013,2013/07/18,7,DM,M,Y,36,
2013,2013/07/18,7,DM,F,Y,35,
2013,2013/07/18,8,DM,F,Y,22,
2013,2013/07/18,7,DM,F,Y,42,
2013,2013/07/18,4,DM,F,Y,41,
2013,2013/07/18,6,DM,F,Y,37,
2013,2013/08/19,8,DO,F,Y,52,
2013,2013/10/17,3,DO,F,Y,33,
2013,2013/10/17,3,DO,F,Y,50,
2013,2013/10/17,17,DO,F,Y,48,
2013,2013/10/17,17,DO,F,Y,31,
2013,2013/10/18,8,DO,F,Y,41,
2013,2013/11/12,1,DO,F,Y,44,
2013,2013/11/12,1,DO,M,Y,48,
2013,2013/11/14,8,DO,F,Y,39,
2013,2013/12/10,9,DO,F,Y,40,
2013,2013/12/10,1,DO,M,Y,45,
2013,2013/12/11,8,DO,F,Y,41,
2013,2013/11/12,9,DS,F,Y,117,
2013,2013/11/12,1,DS,F,Y,121,
2013,2013/11/12,20,DS,M,Y,115,
2013,2013/11/12,9,DS,F,Y,120,
2013,2013/11/13,17,DS,F,Y,118,
2013,2013/11/13,11,DS,F,Y,126,
2013,2013/11/13,17,DS,M,N,132,
2013,2013/11/13,14,DS,F,N,113,
2013,2013/11/13,11,DS,F,Y,122,
2013,2013/11/13,4,DS,F,Y,107,
2013,2013/11/13,4,DS,F,Y,115,
2014,1978/01/08,4,DM,F,Y,37,
2014,1978/01/08,4,DS,F,Y,128,
2014,1978/01/08,4,DM,F,Y,42,
2014,1978/01/08,4,DM,M,Y,37,
2014,1978/01/08,4,DM,M,,,
2014,1978/01/08,4,DM,F,Y,48,
2014,1978/01/08,4,DM,M,Y,45,
2014,1978/01/08,4,DM,F,Y,42,
2014,1978/01/08,4,DO,M,Y,52,
2014,1978/01/08,4,OL,M,Y,35,
2014,2014/01/08,2,NA,,,,
2014,2014/01/08,2,DM,M,Y,44,
2014,2014/01/08,2,DM,M,Y,38,
2014,2014/01/08,2,OL,,,,
2014,2014/01/08,2,PE,M,Y,22,
2014,2014/01/08,2,DM,M,Y,38,
2014,2014/01/08,2,DM,M,Y,48,
2014,2014/01/08,2,DM,M,Y,43,
2014,2014/01/08,2,DM,F,Y,35,
2014,2014/01/08,2,DM,M,Y,43,
2014,2014/01/08,2,DM,F,Y,37,
2014,2014/01/08,2,PF,F,Y,7,
2014,2014/01/08,2,DM,M,Y,45,
2014,2014/01/08,2,OT,,,,
2014,2014/01/08,2,DS,M,N,157,
2014,2014/01/08,2,OX,,,,
2014,2014/01/08,3,PF,M,Y,7,
2014,2014/01/09,1,DM,M,Y,40,
2014,2014/01/09,1,DM,F,Y,36,
2014,2014/01/09,1,DS,F,Y,135,
2014,2014/01/20,1,DM,F,Y,39,
2014,2014/01/20,1,DM,M,Y,43,
2014,2014/01/20,1,DS,F,Y,144,
2014,2014/02/18,2,NA,M,N,218,
2014,2014/02/18,2,PF,F,Y,7,
2014,2014/02/18,2,DM,M,Y,52,
2014,2014/02/18,3,OT,M,Y,24,
2014,2014/02/18,3,OT,F,Y,23,
2014,2014/03/11,3,NA,M,Y,232,
2014,2014/03/11,3,OT,F,Y,22,
2014,2014/03/11,3,OT,M,Y,26,
2014,2014/03/11,3,PF,M,Y,8,
2014,2014/03/13,1,DM,F,Y,51,
2014,2014/03/13,1,DM,F,Y,44,
2014,2014/03/13,1,DS,F,Y,146,
2014,2014/04/08,3,NA,F,,,
2014,2014/05/06,3,,,,,
2014,2014/05/18,3,NA,F,Y,182,
2014,2014/06/09,3,OT,F,Y,29,
2014,2014/07/08,3,NA,F,Y,115,
2014,2014/07/08,3,NA,M,Y,190,
2015,2015/01/08,3,PF,M,Y,7,
2015,2015/02/18,3,OT,M,Y,24,
2015,2015/02/19,3,OT,F,Y,23,
2015,2015/03/11,3,NA,M,Y,232,
2015,2015/03/11,3,OT,F,Y,22,
2015,2015/03/11,3,OT,M,Y,26,
2015,2015/03/11,3,PF,M,Y,8,
2015,2015/04/08,3,NA,F,,,
2015,2015/05/06,3,,,,,
2015,2015/05/18,3,NA,F,Y,182,
2015,2015/06/09,3,OT,F,Y,29,
2015,2015/07/08,3,NA,F,Y,115,
2015,2015/07/08,3,NA,M,Y,190,
,,,,,,,
